code,description
I50,"Administration of Justice Alternatives to Litigation Bail Deviation Court Administration Court Orientation for Offenders Court Reform Courts Criminal Justice Systems Expert Witnesses Penal Reform Prison Reform Organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation."
G90,"Anesthesiology Cardiology Cardiovascular Medicine Chiropractic Dermatology Emergency Medicine Endocrinology Family Practice Forensic Medicine Gastroenterology Gynecologists Hematology Immunology Infectious Disease Internal Medicine Mortuary Science Nephrology Nuclear Medicine OB/GYN Obstetric/Gynecology Occupational Medicine Oncology Ophthalmology Optometry Osteopathic Medicine Otolaryngology Pathology Phlebology Physical Medicine Podiatry Preventive Medicine Psychiatry Pulmonary Disease Specialists Radiology Rehabilitative Medicine Reproductive Medicine Rheumatology Urology Venereology Organizations that represent physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or on complex scientific techniques developed to diagnose or treat certain types of disorders. "
J30,"Employment for Disabled Persons Employment for the Homebound Homebound Employment Housebound Employment Job Coach On-the-Job Coaching Supported Employment Work Adjustment Training Organizations that provide job training and employment experiences for individuals with disabilities, people who have been disabled by use of drugs or alcohol or people with emotional difficulties, with the objective of helping them to become economically self-sufficient."
I72,"Abuse of Children Abused Children Abusive Parents Battered Children CAC Child Abuse Hotlines Child Abuse Prevention Child Neglect Child Protection Cruelty to Children Domestic Violence Incest Infanticide Parents Anonymous Prevention of Child Mistreatment Shaken Baby Syndrome Organizations that deal specifically with the prevention of child abuse including incest through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
G9B,"Colon & Rectal Surgery, Colorectal Surgery Cosmetic Surgery Neurological Surgery Neurosurgery Orthopedics Orthopedic Surgery Plastic Surgery Reconstructive Surgery Thoracic Surgery Traumatology Organizations that represent physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients."
J20,"Bonding for Employment Business Attire Dislocated Workers Training Displaced Homemakers Dress for Success Employment Acquisition Employment Agencies Employment Placement Agencies Employment Preparation Employment Procurement Employment Referrals Employment Resource Center Employment Retraining Employment Screening/Finding Equal Employment Opportunity Foreign Employment Job Banks Job Clubs Job Counseling and Placement Job Fairs Job Information Clearinghouses Job Information Lines Job Interview Training Job Listings Job Placement Assistance Job Readiness Job Referrals Job Search Assistance Job Search Resource Center Occupational Retraining Occupational Training for Dislocated Workers OICs Opportunities Industrialization Centers Post Employment Assistance Pre-Job Guidance Reentry Training Resume Preparation Assistance Retraining SCSEP Senior Citizen Employment Senior Community Service Employment SER-Jobs for Progress Title V Work Reentry Training Organizations that help people prepare for, find, secure and retain suitable employment. "
K34,"Adult Care Feeding Child Care Feeding Child Nutrition Group Meals Low-Cost Meals Meal Vouchers Milk Programs Nutrition Sites School Breakfasts School Lunches Summer Food Service Senior Nutrition Sites Organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations."
I31,"Half-Way Houses for Ex-Offenders Half-Way Houses for Offenders Prerelease Centers Transitional Care for Ex-Offenders Transitional Care for Offenders Work Release Centers Community-based residential facilities which allow adult and juvenile offenders with satisfactory behavior to transition back to the community during the last months of their sentences or which provide congregate living arrangements and supportive services for ex-offenders to help them successfully reenter the community and become self-sufficient. These facilities are known as work release centers, prerelease centers, rehabilitation centers and group homes for juvenile offenders or status offenders."
E21,"Community-Based Health Services Health Care Systems Hospital Management Corporations Multihospital Health Care Systems Multihospital Systems Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital."
J33,"Remunerative Sheltered Employment Sheltered Employment Sheltered Remunerative Employment Sheltered Work Activity Centers Sheltered Workshops Organizations that provide paid employment opportunities in a controlled, protected environment for people with disabilities who are unable to obtain competitive employment. Also included are work activity centers which provide personal and social development opportunities for participants who have demonstrated inconsequential production capacity."
L20,"Accessible Housing Affordable Housing Barrier-Free Housing Habitat for Humanity Housing Construction Housing Cooperatives Housing Development Housing Management Inexpensive Housing Low Cost Housing Low Income Housing Low to Moderate Cost Housing Low to Moderate Income Housing Mobile Home Parks Moderate Income Housing Rooming Houses Shared Housing Single Room Occupancy SRO Hotels SRO Housing SROs Sweat Equity Urban Homesteading Organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). "
B43,Doctorates Graduate Schools Masters Degrees Technological Institutes Universities Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.
E32,"Ambulatory Health Centers Clinics Community Clinics Community Health Centers Community Health Clinics Free Clinics Health Centers Health Clinics Mobile Health Care Walk-in Clinics Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
K36,"Home Delivered Meals Home Meals Meals on Wheels Mobile Meals Organizations that prepare and deliver regular hot meals to elderly individuals, people with disabilities or people with AIDS or other targeted conditions who are unable to shop and/or prepare food for themselves or to travel to a site where a meal is being served. Also known as home delivered meals."
L30,Home Purchase Listings Home Rental Listings Housing Search and Information Relocation Assistance Roommate Matching Assistance Organizations that assist people to find available purchasable or rental housing which meets their individual needs.
E61,"Blood Banks Blood Donations Blood Donor Stations Blood Drives Blood Supply Plasma Supply Whole Blood Substitute Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible."
I51,Alternative Dispute Resolution Alternative to Litigation Arbitration Conflict Resolution Dispute Resolution Dissolution Assistance Labor Mediation Landlord/Tenant Mediation Mediation Mini-Trials Organizations that provide mediation services which help individuals who are having a dispute discuss the situation and reach an agreement without resorting to litigation.
L22,"Age Restricted Communities Agency on Aging Apartments Elderly Housing HUD 202 Retirement Communities Retirement Homes Section 202 Supportive Housing for the Elderly Senior Apartment Complexes Senior Citizens Housing Senior Citizens Retirement Communities Senior Congregate Living Facilities Senior Retirement Communities Residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living."
L82,Construction Loans Electric Bill Payments Assistance Gas Bill Payments Assistance Home Purchase Loans House Payment Assistance Housing Costs Housing Down Payment Assistance Housing Expense Assistance Housing Payments Assistance Mortgage Payments Assistance Moving Expense Assistance Property Tax Relief Rent Assistance Rental Deposit Assistance Security Deposit Assistance Telephone Bill Payments Assistance Utility Bill Payments Assistance Water Bill Payments Assistance Organizations that provide home purchase or construction loans; finance new living accommodations; or pay current housing and/or utility bills for people who cannot afford to make the payments themselves and who qualify for this service on the basis of need or income.
I73,Child Molestation Prevention Dating Violence Prevention Domestic Violence Rape Prevention Sexual Assault Prevention Sex Offender Registration Organizations that deal specifically with the prevention of sexual assault (for adults and children).
L41,Bad Weather Shelters Bridge Housing Community Shelters Mission Housing Motel Vouchers Urban Campsites Overnight Shelters Organizations that provide a temporary place to stay for people who have no permanent housing.
E86,"Caregiver Support Caregiver Training Cancer Lodges Health Care Counseling Health Resocialization Hostels Hospital Lodges Hospitality Houses Make-a-Wish Medical Apartments Medical Treatment Lodges Patient Entertainment Patient Housing Patient/ Family Housing Patient/Family Enrichment Patient Recreation Patient Services Counseling Ronald McDonald Houses Wish Foundations Organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant."
B92,"Children Literacy Reading Encouragement Reading is Fundamental Remedial Reading Remedial Spelling RIF Organizations that provide diagnostic testing and/or individual or group instruction for people who are having reading difficulties. Instruction focuses on phonics, dictionary skills, vocabulary development, spelling and study skills, comprehension and memory skills."
N30,"Aquatic Centers Arenas Athletic Facilities Equestrian Centers Gymnasiums Natatoriums Physical Fitness Facilities Recreation Centers Recreational Centers Recreation Councils Skating Rinks Stadiums Swimming Pools Organizations that provide acreage and facilities for a broad range of recreational and fitness activities, sports and games. "
M23,"Air Rescue Lifeguards Beach Rescue Dive Rescue K-9 Search and Rescue Mountain Rescue Rescue Squads Sea Rescue Search and Rescue Search Dogs Ski Patrol Ski Rescue Swift Water Rescue Traffic Accident Rescue Underwater Search/Rescue/Recovery Urban Search and Rescue Wilderness Rescue Civil Air Patrol  Volunteer and other organizations that provide emergency rescue operations and/or lifesaving activities for people who are stranded, lost, accident victims, or exposed to other life-threatening dangers. Included may be organizations that participate in air rescue, mountain rescue, sea rescue, ski rescue, traffic accident rescue and urban search and rescue operations."
F20,"Addiction Alcohol Abuse Alcoholism Chemical Dependency Drug Abuse Drug Addiction Substance Abuse Substance Dependence Organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. "
J21,"Assessment Testing Career Awareness Career Counseling Career Development Career Goals Career Guidance Career Planning Employment Aptitude Testing Employment Counseling Employment Interest Measures Interest Inventories Job Counseling Vocational Assessment Vocational Counseling Vocational Guidance Vocational Information Vocational Testing Organizations that administer tests which measure the skills, abilities and interests of job seekers and help them make appropriate decisions regarding an occupational field or position."
O22," Organizations specifically designated as Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
N32,"Athletic Fields and Courts Beaches Bike Trails Bridle Trails Campgrounds Hiking Trails Jogging Trails National Parks Off-Road Vehicle Trails Parks Picnic Grounds Playgrounds Public Parks Recreational Trails Skate Parks Ski Areas Snowmobile Trails State Parks Organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails."
F32,"Community Mental Health Clinics Neighborhood Mental Health Centers Neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances."
D20,"Adopt-A-Burro Adopt-A-Greyhound Adopt-A-Horse Adopt-A-Race Horse Alligator Control Animal Adoption Animal Control Animal Lost & Found Animal Population Control Animal Protection  Animal Rescue Animal Shelters Animal Welfare ASPCA Coyote Control Cruelty to Animals Deer Control Domestic Animal Protection Domestic Animal Welfare Equine Rescue Farm Animal Protection Farm Animal Welfare Farm Animals Sanctuaries Foster Care for Animals Found Pets Greyhound Adoption Greyhound Rescue Homeless Animals Horse Sanctuaries Humane Societies Lost Animals Lost Pets Missing Pets Pet Adoption Pet Cemeteries Pet Reunification Predator Control Prevention of Cruelty to Animals Rabbit Rescue Snake Control Spaying & Neutering SPCA Stray Animal Assistance Unwanted Animals Unwanted Pets Organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals."
O31,"Big Brothers Big Sisters Organizations specifically designated as Big Brothers or Big Sisters that provide male or female adult companionship, guidance and/or role models for young men or women."
O42,Daisy Girl Scouts Brownie Girl Scouts Junior Girl Scouts Cadette Girl Scouts Girl Scouts Senior Girl Scouts Organizations specifically designated as Girl Scouts of the U.S.A. troops and councils.
K30,"Baby Food Suppliers Commodity Distribution Community Food Gardening Cooperative Food Purchasing Emergency Food Farmers Markets Food Aid Food Assistance Food Baskets Food Cooperatives Food Co-ops Food Distribution Food Gleaning Food Lines Food Vouchers Groceries on Wheels Grocery Vouchers Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. "
F52,Anti-Smoking Campaigns Nicotine Addiction Nicotine Dependency Smoking Cessation Smoking Education Smoking Prevention Smoking Withdrawal Clinics Stop Smoking Tobacco Addiction Tobacco Habit Organizations that utilize a variety of techniques to help people who wish to control their dependence on nicotine and give up substances containing nicotine. Also included are smoking education/prevention programs that help persuade people to avoid the habit before they start.
O50,"Afterschool Programs After-School Programs After School Programs Character Development for Youth Future Homemakers Future Leaders of America Hugh OBrian Youth Foundation Programs that provide opportunities for children and youth to participate in recreational, cultural, social and civic activities through membership in clubs and other youth groups with a special focus whose purpose is to help youngsters develop their potential and grow into healthy, educated, responsible and productive adults. "
E30,"Acupuncture Alternative Health Clinics Ambulatory Surgical Centers Ambulatory Surgery Biofeedback Burn Centers Burn Institutes Chiropractic Day Surgery Dental Clinics Dental Care Diagnostic Facilities Diagnostic Imaging Dialysis Centers Eye Screening Clinics Foot Clinics Herbal Medicine Homeopathic Medicine Hospital-Based Outpatient Care Infant Care Clinics Infant Centers Medical Testing Laboratories Mobile Dental Care Naturopathic Medicine Neonatal Care Clinics Neonatal Centers Optometry Clinics Outpatient Care Outpatient Surgery Pain Management Podiatry Rural Health Care Rural Medical Service Traditional Healing Arts Well Baby Care Well Baby Clinics Well-Baby Care Well-Baby Clinics Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. "
O55,"Campus Crusade for Christ Catholic Youth Organizations Christian Youth Clubs Faith-Based Youth Liberal Religious Youth Youth for Christ Organizations like Youth for Christ, Campus Crusade for Christ and Liberal Religious Youth that provide a variety of recreational and social activities for young people with the objective of strengthening their religious values and meeting their spiritual needs as well as supporting their growth and development as individuals."
O53,"Junior Achievement Student Operated Business Organizations like Junior Achievement that utilize volunteers from the teaching profession, business and industry to provide firsthand information about the business world for children and youth. Some clubs may also initiate small business ventures under the guidance of adult volunteers."
K40,"Basic Food Groups Healthful Eating Nutrition Assistance Nutrition Education Special Supplemental Nutrition for Women, Infants and Children USDA Food Pyramid Vegetarianism. WIC Organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness."
F80,Multipurpose Mental Health Associations Organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.
P21," Separately incorporated, local chapters of the American Red Cross."
E50,"Art Therapy Audiological evaluations Auditory Training Corrective Therapy Cued Speech Instruction Easter Seal Societies Equestrian Therapy Equine-facilitated Therapy Equine Therapy Dance Therapy Easter Seal Society Finger Spelling Instruction Hippo Therapy Horse Therapy Hydrotherapy Kinesiology Language Therapy Music Therapy Occupational Therapy Oral Communication Instruction Pediatric Occupational Therapy Physical Therapy Sign Language Instruction Speech and Hearing Centers Speech and Language Evaluations Speech Therapy Therapeutic Horseback Riding Therapeutic Horsemanship Therapeutic Riding Total Communication Instruction Water Therapy Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. "
G32,Breast cancer Voluntary health organizations active in the prevention or treatment of breast cancer.
P28,"Community Centers Jewish Community Centers Neighborhood Centers Neighborhood Multipurpose Centers Settlement Houses Neighborhood-based multipurpose centers that offer, at a single location, a wide variety of services and activities that are structured to meet the needs of the entire community through different programs for different age and interest groups."
P24," Separately incorporated, local Salvation Army sites."
G45,Asbestosis Berylliosis Black Lung Disease Bronchial Diseases Bronchiolitis Obliterans Bronchitis Bronchopulmonary Dysplasia Byssinosis Caplans Syndrome Dyspnea Emphysema Eosinophilic Granuloma Goodpasture Syndrome Hand-Schueller-Christian Syndrome Hemoptysis Hyaline Membrane Disease Interstitial Lung Diseases Langerhans-Cell Histiocytosis Letterer-Siwe Disease Lung Abscess Meconium Aspiration Middle Lobe Syndrome Non-Langerhans-Cell Histiocytosis Obstructive Lung Diseases Parasitic Lung Diseases Pleural Diseases Pleurisy Pleuropneumonia Pneumoconiosis Pneumonia Pulmonary Alveolar Proteinosis Pulmonary Coin Lesion Pulmonary Diseases Pulmonary Edema Pulmonary Embolism Pulmonary Eosinophilia Pulmonary Fibrosis Pulmonary Plasma Cell Granuloma Pulmonary Sarcoidosis Radiation Pneumonitis Respiration Disorders Respiratory Distress Syndrome Respiratory Insufficiency Respiratory System Diseases Respiratory Tract Diseases Siderosis Silicosis Silo Fillers Disease Tuberculosis Wegeners Granulomatosis Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the lungs. The related medical specialty is pulmonary disease specialists.
L24,"HUD 811 Section 811 Supportive Housing for Persons with Disabilities. Organizations that develop, manage and/or provide rental housing with the availability of supportive services for individuals with disabilities."
P30,"Adolescent Pregnancy Prevention Adolescent Services Child Development Support Child Welfare Childrens Aid Societies Childrens Home Societies Childrens Protective Services Childrens Services Childrens Social Services Multipurpose Childrens Services Runaway Hotlines Runaway Services Teen Pregnancy Prevention Youth Services Organizations that provide a wide variety of informational, social and supportive services for children and youth including runaways and other troubled youth. "
P33,"After School Care Babysitting Before School Care Child Care Centers Child Care Co-ops Child Caregivers Childrens Day Care Corporate Day Care Day Care, Children Drop-In Child Care Extended Day Care Faith-Based Child Care  Family Child Care Homes Infant Care Centers In-Home Child Care Latchkey Child Care  Nanny Nighttime Child Care Sick Child Care Organizations that provide substitute parental care for children during some portion of a twenty-four hour day."
P42,Parents Without Partners Single Parent Agencies Single Parents Organizations like Parents Without Partners that provide supportive services for single parents.
G60,Allergies Anaphylaxis Angioneurotic Edema Drug Hypersensitivity Environmental Illness Food Allergies Food Hypersensitivity Hay Fever Hives Hypersensitivity Latex Hypersensitivity Multiple Chemical Sensitivities Rhinitis Sick Building Syndrome Urticaria Wissler Syndrome Voluntary health organizations active in the prevention or treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction.
E70,"Biohazards Research Biostatistics Centers for Disease Control Childhood Immunizations Communicable Diseases Control and Prevention Community Health Promotion Community Wellness Disease Outbreaks Diseases Control and Prevention Employee Health Environmental Health Hazards Environmental Health Environmental Medicine Environmental Toxicology Epidemiology Ergonomics Flu Shots Foreign Travel Shots Health Biostatistics Health Fairs Health Maintenance Health Promotion Health Screening Immunizations Industrial Hygiene Industrial Medicine Industrial Safety Inoculations International Health International Public Health Mass Health Screening Medical Biostatistics National Health National Institutes of Health Occupation Health Promotion Occupational Health and Safety Occupational Safety Preventive Health Public Health Medicine Sexually Transmitted  Disease Control, Prevention Surgeon General Vaccinations Venereal Disease Control, Prevention Virology Wellness Worker Health Workplace Health Promotion Workplace Safety Workplace Wellness Worksite Wellness World Health Organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
P45,"Adolescent Parents Adolescent Parents Pregnancy Counseling Maternity Home Care Maternity Homes for Unwed Mothers Post Pregnancy Shelter Care Teen Parents Unwed Pregnant Womens Shelter Organizations that provide pregnancy counseling, maternity home care and other supportive services for pregnant adolescents or adolescents who are parents."
P47,"Birthright Crisis Pregnancies Crisis Pregnancy Centers, Pregnancy Centers, Pregnancy Care Centers Pregnancy Care Clinics.
 Organizations that provide free and confidential services to women and families facing unplanned pregnancies.  Services can include pregnancy testing and physician exams with ultrasound, counseling on pregnancy-related issues, information on STDs, healthcare & community referrals, and help with material goods such as maternity and baby items."
L80,Home Purchase Counseling Homeowner Purchase Counseling Homeownership Counseling Homeownership Education Homeownership Training Household Goods Storage Assistance Housing Counsel HUD Counseling Services Mortgage Counseling Moving Assistance Organizations that provide supportive services which help people obtain and remain in suitable housing. 
G83," Voluntary health organizations active in the prevention or treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the frontal and occipital lobes of the brain."
P60,"Child Care Vouchers Clothing Distribution Emergency Cash Emergency Food Assistance Emergency Living Expenses Emergency Money Household Goods Provision Household Goods Vouchers Moving Expense Assistance Personal Loans Return to Point of Origin Assistance Short-Term Emergency Assistance Short Term Emergency Assistance Temporary Financial Aid Organizations that provide food, clothing, household goods, cash and other forms of short-term emergency assistance for indigent individuals and families who have insufficient resources to meet their basic needs."
P52,"Bus Passes Demand/Response Transportation Disability-Related Transportation Door-to-Door Transportation Handicapped Transportation Paratransit Senior Rides Special Needs Transportation Student Transportation Transportation Passes Transportation Vouchers Organizations that provide or coordinate free or low-cost transportation services for older adults, people with disabilities, people with medical conditions, people who are indigent, students and other eligible individuals."
E92,"Geriatric Home Nursing Home Infusion Therapy Home Care Services Home Infusion Therapy Home Nursing Care Medical/Surgical Home Nursing Oncology Home Nursing Pediatric Home Nursing Private Duty Nursing Psychiatric Home Nursing Registered Home Nursing Rehabilitation Home Nursing Restorative Home Nursing Visiting Doctors Visiting Nurses Visiting Physicians Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized."
G96,"Neurology Neurosciences Organizations that represent physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures."
P73,"Group Homes for Adults with Developmental Disabilities Group Homes for Adults with Disabilities Group Homes for Disabled Adults Housing Long-Term Group Homes Long Term Group Homes Residential Care for Individuals with Disabilities Residential Care Facilities, usually located in residential neighborhoods, that provide 24-hour non-medical care for individuals with disabilities who need supervision and/or assistance with activities of daily living."
M24,"Fire Code Inspections Fire Companies Fire Departments Fire Fighting Fire Safety Inspections Fire Suppression Systems Fire Prevention Firefighters Wildfire Residential Fire Protection Systems Organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes."
P70,"Custodial, Residential Care Facilities Housing Respite Care Organizations that provide alternative living arrangements for people who require care, supervision and support on a 24-hour basis or during part of the day. "
P82,Activities of Daily Living Daily Living Instruction Day Programs for the Developmentally Disabled Developmentally Disabled Activity Centers Developmentally Disabled Behavior Management  Developmentally Disabled Centers Developmentally Disabled Services Developmentally Disabled Social/Recreation  Drop in Centers for the Developmentally Disabled Independent Living Skills Instruction: Mentally Retarded Centers Mentally Retarded Services Retarded Citizens Associations Retarded Citizens Centers Retarded Citizens Services Self Care Organizations such as retarded citizens associations that provide or coordinate a wide variety of programs and services for people with developmental disabilities.
F30,"Animal-Assisted Therapy Clinical Evaluation Early Intervention Forensic Psychiatric Evaluations Hug-A-Pet Programs Mental Health Related Mental  Health Twelve Step Mental Health Drop-in Centers Mental Health Evaluation Outpatient Mental Health Facilities Pet-Assisted Therapy Pet Therapy Psychiatric Day Treatment Facilities Psychological Testing Psychosocial Evaluation Organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. "
I21,"Gang Related Juvenile Delinquency Prevention SADD Students Against Destructive Decisions Students Against Drunk Driving Youth Crime Prevention Organizations that offer a variety of activities for youth who have demonstrated or are at risk for behavior which is likely to be unlawful or to involve them in the juvenile justice system. Also included are community councils, coalitions and other groups whose primary purpose is to prevent delinquency."
P88," Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of people who are lesbian, gay, bisexual, or transgenedered."
O20,"Police Athletic Leagues Teen Centers Teen Clubs Youth Centers Youth Clubs Organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. "
P80,Animal Aides Assistive Technologies Canine Assistants Care Management Case Management Companion Animals Guide Dog Training Guide Dogs Service Animals Service Dogs Womens Centers Womens Services Organizations that provide multipurpose centers or services that meet the needs and interests of a particular target population. 
R25,Age Discrimination Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of older adults.
F42,"Rape Crisis Counseling Rape Victim Hotlines Sexual Assault Services Organizations that provide telephone crisis intervention services or crisis, short-term and/or ongoing in-person counseling for people who have been sexually assaulted."
I44,Adult Diversion Alternatives to Incarceration Community Corrections Community-Based Correctional Facility Day Treatment for Offenders Diversion Group Homes for Offenders Home Confinement Housing Intensive Supervision of Offenders Juvenile Alternative Sentencing Juvenile Detention Facilities Juvenile Detention Homes Juvenile Diversion Juvenile Justice System Prison Alternatives Prison Boot Camps Reformatories Residential Restitution Centers Residential Treatment Facilities for Offenders Weekend Sentences Organizations that provide intensive treatment and rehabilitation services for adult or juvenile offenders. The focus of the service is on rehabilitation of the offender rather than preparation for release into the community.
R60,Academic Freedom Bill of Rights Civil Liberties Constitutional Rights Criminal Rights Cyber-Liberties Death Penalty Advocacy Death Penalty Issues Due Process Freedom of Association Freedom of Information Freedom of Religion Gun Control Advocacy Legal Rights Library Censorship Political Rights Right of Assembly Right to Bear Arms Right to Privacy Organizations that protect the rights of people guaranteed by the Constitution and promote the passage of laws or other social measures that extend individual rights or more effectively protect them. 
O40," Programs that provide opportunities for children and youth to develop individual and group initiative and responsibility, self-reliance, courage, personal fitness, discipline and other desirable qualities of character through participation in a wide range of organized recreational, educational and civic activities under the leadership of qualified adult volunteers. "
P86,Audio Books  Books on Tape  Braille Transcription Guide Dogs for the Blind Recorded Books  Recording for the Blind Seeing Eye Dog  Talking Books Organizations that provide or coordinate a wide variety of programs and services for people who are blind or have visual impairments.
R99," Organizations that clearly provide civil rights, social action or advocacy services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
F60,"Adolescent Counseling Adult Incest Survivor Counseling Anger Management Bereavement Counseling Child Abuse Counseling CISD Critical Incident Stress Debriefing Cult Membership Counseling Cultural Transition Counseling Disability Counseling Elder Abuse Counseling Employee Assistance Employment Transition Counseling Family Violence Counseling Geriatric Counseling Gestalt Therapy Grief Counseling Health Problems Counseling Parent Abuse Counseling Peer Counseling Psychiatric Disorder Counseling Sexual Offender Counseling Sexual Orientation Counseling Sexuality Counseling Spousal Abuse Counseling Spouse Abuse Counseling Terminal Illness Counseling Veteran Counseling Youth Counseling Organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life."
I71,"Battered Husbands Battered Wives Conjugal Crime Prevention Domestic Abuse Prevention Domestic Rape Prevention Domestic Violence Husband Abuse Prevention Marital Rape Prevention Spousal Abuse Prevention Wife Abuse Prevention Organizations that deal specifically with the prevention of domestic violence through educational interventions which may focus on batterers, people at risk for domestic violence, people who work with battered women and/or the community at large."
W61," Cooperative 501(c)(14) associations that use money deposited by a group of people (e.g., fellow employees) and lend it out again to people in the same group at favorable interest rates."
R22,African American Rights Asian American Rights Congress of Racial Equality CORE Ethnic Groups Rights Hispanic Rights La Raza Latino Rights NAACP Native American Rights Racial Equality SCLC Southern Christian Leadership Conference Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific ethnic groups or individuals who have a common national origin. 
O51,Key Clubs Youth Service America Organizations like Key Club that provide opportunities for children and youth to make a contribution to their local community through volunteer service projects. The purpose of the organization is to develop leadership skills and good citizenship practices in youngsters who are interested in service to others.
I99," Organizations that clearly provide crime and legal related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
X22,"Catholic Church Roman Catholic Church Religious organizations characterized by their acknowledgement of the supreme authority of the bishop of Rome, the pope, in matters of faith.  "
R30,"Diversity Training Intergroup Relations Multicultural Understanding Race Relations Organizations that work for increased harmony and understanding among diverse groups in the community and to reduce or eliminate tensions and violence based on age, gender, race, color, sexual preference, creed, national origin, income level or stereotypical identification."
G25,"Trisomy Down Anomaly Downs Anomaly Downs Syndrome Mongolism Trisomy 21 Voluntary health organizations active in the prevention or treatment of Down Syndrome, a hereditary condition that results in mental retardation."
